image size | grain size in rows | in columns | time (s)
500        | none               | none       | 0.505061
500        | 10                 | 10         | 0.554406
500        | 25                 | 25         | 0.468314
500        | 25                 | 50         | 0.509591
500        | 50                 | 25         | 0.51101
500        | 16                 | 32         | 0.566203
500        | 50                 | 50         | 0.498585
500        | 75                 | 75         | 0.510277

1000       | none               | none       | 1.98339
1000       | 25                 | 25         | 1.80122
1000       | 25                 | 50         | 1.82071
1000       | 50                 | 25         | 1.98085
1000       | 50                 | 50         | 2.0153
1000       | 100                | 100        | 2.54608

1500       | none               | none       | 4.08683
1500       | 25                 | 25         | 4.22825
1500       | 25                 | 50         | 4.08584
1500       | 50                 | 25         | 4.65327
1500       | 50                 | 50         | 4.84201
1500       | 100                | 100        | 4.51711
